Date,ProductID,BatchID,Status
14-03-2024,Product 8,B-1003,Pass
02-04-2024,Product 5,B-1014,Pass
29-03-2024,Product 4,B-1014,Pass
04-04-2024,Product 4,B-1004,Pass
02-05-2024,Product 7,B-1023,Fail
06-01-2024,Product 10,B-1018,Pass
24-01-2024,Product 10,B-1012,Pass
23-03-2024,Product 2,B-1013,Pass
22-04-2024,Product 4,B-1003,Pass
14-04-2024,Product 5,B-1007,Pass
29-05-2024,Product 5,B-1004,Pass
25-04-2024,Product 10,B-1013,Pass
16-03-2024,Product 10,B-1018,Pass
21-03-2024,Product 10,B-1028,Pass
29-03-2024,Product 9,B-1007,Pass
04-04-2024,Product 2,B-1007,Pass
07-01-2024,Product 8,B-1026,Pass
30-01-2024,Product 2,B-1019,Pass
09-03-2024,Product 10,B-1030,Pass
02-05-2024,Product 8,B-1030,Pass
21-03-2024,Product 1,B-1002,Pass
10-03-2024,Product 4,B-1011,Pass
18-03-2024,Product 9,B-1013,Pass
28-02-2024,Product 1,B-1003,Pass
16-03-2024,Product 3,B-1026,Pass
10-04-2024,Product 7,B-1028,Pass
27-04-2024,Product 3,B-1008,Pass
26-03-2024,Product 8,B-1010,Pass
27-02-2024,Product 2,B-1027,Pass
04-05-2024,Product 2,B-1012,Pass
15-04-2024,Product 7,B-1012,Pass
01-01-2024,Product 2,B-1025,Pass
05-04-2024,Product 10,B-1018,Pass
07-01-2024,Product 1,B-1014,Fail
31-01-2024,Product 2,B-1023,Pass
23-01-2024,Product 7,B-1009,Pass
18-02-2024,Product 4,B-1025,Pass
03-01-2024,Product 6,B-1019,Pass
09-05-2024,Product 6,B-1021,Pass
25-04-2024,Product 1,B-1001,Pass
01-01-2024,Product 6,B-1002,Pass
17-05-2024,Product 2,B-1029,Pass
14-03-2024,Product 7,B-1015,Pass
07-03-2024,Product 5,B-1001,Pass
01-02-2024,Product 5,B-1013,Pass
13-03-2024,Product 1,B-1003,Pass
03-05-2024,Product 6,B-1013,Pass
09-01-2024,Product 1,B-1026,Pass
28-04-2024,Product 4,B-1020,Pass
27-02-2024,Product 6,B-1027,Fail
13-03-2024,Product 10,B-1018,Pass
28-05-2024,Product 4,B-1020,Pass
02-03-2024,Product 2,B-1009,Pass
19-01-2024,Product 9,B-1026,Pass
16-04-2024,Product 4,B-1001,Pass
22-03-2024,Product 7,B-1018,Pass
25-03-2024,Product 8,B-1027,Pass
23-04-2024,Product 6,B-1025,Pass
09-05-2024,Product 8,B-1017,Pass
24-04-2024,Product 5,B-1023,Pass
07-02-2024,Product 3,B-1025,Fail
14-03-2024,Product 6,B-1022,Pass
07-01-2024,Product 4,B-1002,Pass
28-01-2024,Product 9,B-1014,Pass
01-02-2024,Product 4,B-1014,Pass
20-01-2024,Product 4,B-1002,Fail
13-01-2024,Product 2,B-1010,Pass
06-02-2024,Product 7,B-1010,Pass
23-05-2024,Product 2,B-1016,Pass
01-03-2024,Product 7,B-1018,Pass
11-05-2024,Product 8,B-1003,Pass
25-05-2024,Product 1,B-1020,Pass
17-03-2024,Product 10,B-1019,Pass
